feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
3.6.3.8: Calcium-transporting ATPase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	2.03518131962509	-0.0614602574130574	0.261005717634399	3.75087682987987e-11	3.16023875840145e-8	3.75087682987987e-11	3.16023875840145e-8	NA	abundance	105	87
1.17.7.4: NO_NAME|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.72671386592548	-0.0614602574130574	0.220321568490558	4.9115817524189695e-11	3.92037285392027e-8	4.9115817524189695e-11	3.92037285392027e-8	NA	abundance	105	89
3.5.1.88: Peptide deformylase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.74504771212357	-0.0614602574130574	0.229348527302564	8.077604268226969e-11	5.59959145775812e-8	8.077604268226969e-11	5.59959145775812e-8	NA	abundance	105	88
2.7.6.1: Ribose-phosphate diphosphokinase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.87196507003279	-0.0614602574130574	0.248271412633106	1.0479187306843001e-10	6.73403233138381e-8	1.0479187306843001e-10	6.73403233138381e-8	NA	abundance	105	89
6.3.4.4: Adenylosuccinate synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.60608921213061	-0.0614602574130574	0.216393664992683	1.5224714581445e-10	8.61537057672995e-8	1.5224714581445e-10	8.61537057672995e-8	NA	abundance	105	89
2.4.2.29: tRNA-guanine(34) transglycosylase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.68910719015093	-0.0614602574130574	0.228023164891292	1.85498237374297e-10	1.00471145311559e-7	1.85498237374297e-10	1.00471145311559e-7	NA	abundance	105	87
4.2.1.9: Dihydroxy-acid dehydratase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.74888592408385	-0.0614602574130574	0.236668081465285	2.3987043771643e-10	1.2207312450444e-7	2.3987043771643e-10	1.2207312450444e-7	NA	abundance	105	88
3.4.21.92: Endopeptidase Clp|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.79519684873062	-0.0614602574130574	0.243833952008258	2.82054996549632e-10	1.3798494373139e-7	2.82054996549632e-10	1.3798494373139e-7	NA	abundance	105	89
2.7.4.22: UMP kinase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.59116335849513	-0.0614602574130574	0.221285515121121	6.85351090497134e-10	2.58551256170232e-7	6.85351090497134e-10	2.58551256170232e-7	NA	abundance	105	88
1.17.4.1: Ribonucleoside-diphosphate reductase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.71821283989103	-0.0614602574130574	0.260801516471248	1.43890381918989e-9	4.39071734550654e-7	1.43890381918989e-9	4.39071734550654e-7	NA	abundance	105	88
4.3.3.7: 4-hydroxy-tetrahydrodipicolinate synthase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.71821283989103	-0.0614602574130574	0.260801516471248	1.4533814075567602e-9	4.39071734550654e-7	1.4533814075567602e-9	4.39071734550654e-7	NA	abundance	105	88
1.1.1.267: 1-deoxy-D-xylulose-5-phosphate reductoisomerase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.42613394979142	-0.0614602574130574	0.205052868640751	1.6195127375199702e-9	4.77838178446163e-7	1.6195127375199702e-9	4.77838178446163e-7	NA	abundance	105	82
2.5.1.6: Methionine adenosyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.59351396109468	-0.0614602574130574	0.238763883133714	5.926493552017491e-9	1.32564646921057e-6	5.926493552017491e-9	1.32564646921057e-6	NA	abundance	105	88
6.1.1.9: Valine--tRNA ligase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.79545795950903	-0.0614602574130574	0.273238965949735	5.97434924320082e-9	1.32851306279599e-6	5.97434924320082e-9	1.32851306279599e-6	NA	abundance	105	89
1.2.1.11: Aspartate-semialdehyde dehydrogenase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.51928419437249	-0.0614602574130574	0.240197096719326	1.09266365577342e-8	2.14676929580427e-6	1.09266365577342e-8	2.14676929580427e-6	NA	abundance	105	89
5.2.1.8: Peptidylprolyl isomerase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.5630947138439	-0.0614602574130574	0.249370038842063	1.3179626783697e-8	2.49223127120743e-6	1.3179626783697e-8	2.49223127120743e-6	NA	abundance	105	90
2.5.1.7: UDP-N-acetylglucosamine 1-carboxyvinyltransferase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.5354136306665	-0.0614602574130574	0.242169598315002	1.52047353772135e-8	2.80521818536094e-6	1.52047353772135e-8	2.80521818536094e-6	NA	abundance	105	88
7.2.4.5: NO_NAME|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.37340497907907	-0.0614602574130574	0.220339308479639	1.67689302426766e-8	3.03473613947894e-6	1.67689302426766e-8	3.03473613947894e-6	NA	abundance	105	89
2.7.1.148: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.68302356530725	-0.0614602574130574	0.268761537445223	2.36635069923376e-8	4.02322064622192e-6	2.36635069923376e-8	4.02322064622192e-6	NA	abundance	105	79
5.6.2.3: NO_NAME|s__GGB9739_SGB15313.t__SGB15313	Diet	LCF	DietLCF	1.33830854768021	-0.0614602574130574	0.217874914079407	2.82467937160788e-8	4.60623198688779e-6	2.82467937160788e-8	4.60623198688779e-6	NA	abundance	105	89
