"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UniClust90_15313-HPDJDMNM_01217|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	4.18960799310458	-0.290682613120024	0.260571673448819	8.90036770187306e-27	9.17716913740131e-23	8.90036770187306e-27	9.17716913740131e-23	NA	"abundance"	105	76
"UniClust90_15313-AJOEIHIC_01655|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	3.97467219505331	-0.290682613120024	0.267699909439183	3.82129114363894e-22	1.97006664910306e-18	3.82129114363894e-22	1.97006664910306e-18	NA	"abundance"	105	78
"UniClust90_15313-HPDJDMNM_00772|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.859506735159326	-0.290682613120024	0.114670177018383	2.76811564824695e-14	9.51401348302478e-11	2.76811564824695e-14	9.51401348302478e-11	NA	"abundance"	105	90
"UniClust90_15313-OBMGHFIP_00218|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.773940026895771	-0.290682613120024	0.117259281983639	8.87891928472649e-13	2.28876341862037e-09	8.87891928472649e-13	2.28876341862037e-09	NA	"abundance"	105	89
"UniClust90_15313-JKNJDJDH_00114|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.945319131710857	-0.290682613120024	0.147970320233136	1.84351849608211e-12	3.17258693679239e-09	1.84351849608211e-12	3.17258693679239e-09	NA	"abundance"	105	88
"UniRef90_A0A2A7B638|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	1.0603962427894	-0.290682613120024	0.154123945505178	1.84613729228536e-12	3.17258693679239e-09	1.84613729228536e-12	3.17258693679239e-09	NA	"abundance"	105	90
"UniRef90_A0A173YYY4|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.459607512203972	-0.290682613120024	0.0846935153417199	2.82545114631208e-12	3.88020008233698e-09	2.82545114631208e-12	3.88020008233698e-09	NA	"abundance"	105	89
"UniRef90_UNK15313-BCMJCFKH_01568|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.54267431035102	-0.290682613120024	0.0978049393905948	3.01053250496516e-12	3.88020008233698e-09	3.01053250496516e-12	3.88020008233698e-09	NA	"abundance"	105	90
"UniRef90_A0A3F3JX67|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-2.00251375384845	-0.0172759480074225	0.233984493260831	1.40293207746013e-11	1.60729251674349e-08	1.40293207746013e-11	1.60729251674349e-08	NA	"abundance"	105	81
"UniClust90_15313-AJOEIHIC_01187|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.932486853855019	-0.290682613120024	0.147496596437971	2.97487893179361e-11	3.06739766657239e-08	2.97487893179361e-11	3.06739766657239e-08	NA	"abundance"	105	87
"UniRef90_A0A173ZQS2|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.378528755933683	-0.290682613120024	0.0818520444485757	5.15200130831777e-11	4.82929868091496e-08	5.15200130831777e-11	4.82929868091496e-08	NA	"abundance"	105	89
"UniClust90_15313-BNLLABBC_00112|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCF"	"DietLCF"	0.760191369492549	-0.290682613120024	0.135048884154155	1.09573799067643e-10	9.4151286848872e-08	1.09573799067643e-10	9.4151286848872e-08	NA	"abundance"	105	89
"UniClust90_15313-HFODPHMF_00291|s__GGB9739_SGB15313.t__SGB15313"	"Diet"	"LCP"	"DietLCP"	-2.01728919967817	-0.0172759480074225	0.258890086289165	1.87140462208959e-10	1.48431177372044e-07	1.87140462208959e-10	1.48431177372044e-07	NA	"abundance"	105	82
