F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
1.1.1.1	53.2753377731	55.8170251273	38.0013192058	87.7390576174	484.219637393	154.8510086032	51.7367060936	771.6078342806	365.2589279055	121.5375307901	86.788625152	72.4197386604	94.4431128584	99.1475266938	55.8031112484	112.7329995695	87.3362283168	77.106521522	65.0087799872	61.1115158586	85.2625480929	78.5855328	37.6351634444	79.404643695	56.3664118142	37.2193005451	78.4061238139	66.454976271	65.9696758614	47.8712717083	104.3919995701	103.0953528448	96.572614004	38.379314517	57.0120292535
1.1.1.100	288.9769287904	224.605150684	274.1081621128	156.8780742284	756.164381101	297.2519518652	167.2429713967	1009.1588429895	465.4157516318	342.6372734586	221.9162986284	322.3198764443	174.8725372461	297.9336165482	247.0751354047	226.029141607	180.0622002223	169.7703859108	105.1534000922	155.8185798265	244.4529488471	83.5240895008	229.5807264015	103.7045598075	154.1983132409	205.3575779897	308.5168779811	159.3719675581	240.9694369761	204.0638490645	77.9668011286	221.7253496478	148.7164592103	259.4257903009	206.1708919008
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103	0.6635331205	0	2.1370610754	0	46.097247334	1.3433344709	0.7986704936	19.5555814307	5.4860250551	17.2424293666	4.7522473225	11.1759071959	3.1233570274	6.965694599	0	0.67408609	0	1.1303939081	3.6152105427	0	5.3780175591	0	0	0	0.9618541731	0	2.4687229488	0.8783903311	5.9679093418	2.3546809411	15.8369969173	3.9374707229	0	0	5.7111275366
1.1.1.105	0.8305330576	0	0	0	0	0	0	0	2.8310353725	0	0	0	0	0	0	0	2.8979132381	2.4340076969	5.5053959978	0	0	0	0	0	1.0164572485	0	0	0	2.3483848761	0	15.5526169705	0	0	0	0
1.1.1.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2316589924	0	0	0	0	0	0
1.1.1.108	0	0	0	0	2.2687669629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6579006524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7012863941	0	0	0	0
1.1.1.119	103.6935964154	55.5618655294	57.0633100501	21.2325222023	224.4270495874	56.5832040337	42.0153103271	234.8996096515	296.0302641738	75.5854367138	47.7442931034	68.8142462826	23.2812408224	64.8136282116	10.0197799535	35.2659080633	0	15.7715354285	14.4091832952	34.6004411009	43.3434572986	5.3564771376	74.7974133348	25.4756257369	15.6342888717	67.8826099358	85.1008233543	34.0401846711	27.908111066	41.3396049955	22.6260855017	60.1616661073	24.5108994604	70.1266636878	6.7455062478
1.1.1.120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6937356804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.122	0	1.243446595	2.3103726963	0	21.3909368185	0	0	0.6736484071	0	0	0	0	0	1.8856731808	0	0.4930814918	0	0	0.5693539431	3.143407091	2.6723610518	0	0	0	3.1588280391	0	0.7369180312	0	1.1727639931	1.341806488	0	2.8014606741	0	0	0
1.1.1.125	0	0	0	0	0	0	0	2.0105151901	0.5539820604	0	0	2.1309435805	1.4342282995	1.9324019484	2.6102626497	1.2566815926	2.4109646718	1.0279587944	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3354681814	1.3717106308	4.5762250086	0
1.1.1.127	1.0369523011	0	9.0835975434	0	22.0408246212	6.4333609089	0	13.17923698	0	0.6103001894	1.7887257965	6.2531483703	1.9397929047	2.6841580013	2.6102626497	1.3922300944	4.3084664993	0	0	0	0	0	0	0	0	0	7.0495961157	0	1.3186414449	0	0	0.8504525089	0	0	0
1.1.1.128	0	0	0	0	0	0	0	0	0	0	0	0.675464122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.130	0	0	0	0	19.3435730381	0	0	0.2807898445	0	2.8574749161	0.6976130546	1.94502199	1.4029282599	2.4499501202	0	0	0	0	0	0	0	1.1798951494	0	0	0	0	2.1547391888	0	0	0	0	0	0	0	0
1.1.1.131	0	0	0.3475193412	0	0.8859820925	0	0	2.8601246024	1.607238028	2.4764259447	0	0	0	3.4336557333	0	4.6600628958	0	0	0	0	1.9362238053	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.132	0	0	0	1.0709206371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6060783337	0	0	0	0	0	0
1.1.1.133	89.9185030357	121.1961003731	109.9677489486	132.5271405042	168.6620403676	139.6949574202	125.9537544939	189.271702237	203.2714511789	181.1854153945	138.7253872928	134.1020779279	204.4862883743	147.0504910011	74.7161056137	111.4163597061	111.6745950476	80.8211106891	151.4269249789	139.3982432931	91.7864184699	134.4239042135	97.4887420967	148.3050594059	165.6130419222	53.0452983419	145.5200575372	107.5533002314	147.28138072	118.8940601541	241.5461329308	135.3623318777	127.1633193798	117.5509124541	64.357425123
1.1.1.136	1.6849340919	0	0.3757719825	0	1.7355469233	1.851448688	0.4977831811	6.6803309306	0.7084956353	2.2994804348	3.9916086006	1.7418732116	0	1.9803837525	0	2.8651098762	0	0	0	1.3472168658	0	1.8466184845	0	0	0	0	0	3.3231694819	1.7424050409	2.5357725775	0	4.0581696178	0	0	0
1.1.1.137	0	0	0	0	0	0	1.3931770332	0	0	0	0	0	0	0	0	0	1.1628892492	0	0	0	0	0	0	0	0	0	0	0	0	0.5343424986	0	0	0	0	0
1.1.1.14	4.1130023743	7.598285634	18.6185505397	10.1401483492	79.2675726513	29.8137699677	7.8182417262	178.8023075146	4.7502267972	45.2565525418	27.0275873884	37.7653194206	20.0481361315	27.5803218443	9.6296660787	13.0057709017	14.3572484505	0.9971937231	1.9462762847	0	28.1464883074	0	0	8.7971152898	7.075737624	4.2847884472	26.802537532	0	21.4839897794	16.5466904762	13.4787464196	20.3230444671	2.4789778654	4.5762250086	1.0919805952
1.1.1.140	0	0	0	0	38.4209411132	5.1127255934	0	0	0	0	0	1.6272544758	0	0	0	0	1.5361623415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.156	1.1599146313	0.8770430612	0.578832243	0	0	0	0	0.5799646189	0	0	0	0	0	0	0	1.5228250719	0	1.4596398414	0	4.040160674	0	0.7917536507	0	0.913089472	0	0	3.111526874	0	0	0	0	0.5028762661	0	0.8614814503	1.5252149504
1.1.1.157	134.180248808	169.1641386659	129.6839008205	55.573632459	22.6461122527	71.8118154959	100.056439026	59.8605267468	0.6007431128	89.171735543	82.2795649734	130.8387617902	78.2673298842	118.5906140582	114.4369267703	107.4337048924	99.8372870768	20.7862806574	20.8273546899	90.5785982809	119.8897285133	59.9169842957	134.3569444064	44.0457468336	91.9580312082	111.2134996495	147.2497713077	96.6469323199	134.7159602754	102.7454560371	7.2748923854	52.5650374658	8.3550427517	113.1183609884	77.6324604561
1.1.1.159	6.9486876293	0	2.7126306109	0	11.4310140154	14.3055852941	0.497394846	0	0	7.704082143	0	24.8458832874	0	4.5101694984	5.2421630641	9.5933064417	0	0	0	0	3.1426394744	0	5.3448238279	0	0.7811030534	10.585242245	2.2633861385	0	3.7238159794	0	0	0	0	0	4.1529994962
