	F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
Firmicutes_SGB4052	0	0.04553	0.08406	0.38609	0	0.0482584555716259	0.3175	0.0421883902438757	0.0122115569976156	0.567030561853861	0	0.5557	0.37515	0.49158	0	0.0434377291290242	0	0	0	0	0.28464	0	0	0	0.77674	0.06572	0.09058	0.00935	0.27138	0.20939	0	0.03834	0	0	0
Firmicutes_SGB63246	0.1448	0.00448	0.01726	0	0	0	0	0	0	0.153282160540497	0	0	0.1426	0.15156	0	0	0	0	0	0	0.01051	0	0	0	0.06097	0.00338	0.02276	0	0.04701	0	0	0	0	0.28914	0
Firmicutes_SGB72905	0.23031	0.08064	0.05557	0.01965	0	0.00122835282578987	0.01017	0	0	0.158925874688749	0	0	0.08405	0.06289	0	0.022474754909345	0	0	0	0.05792	0.04108	0	0.1651	0.04938	0.12323	0.05485	0.07448	0.0346	0.14807	0.0414	0	0.00719	0	0.27613	0
Lachnospiraceae_SGB4859	0	0	0.27383	0.01944	0.130046138585202	0.392537780249445	0.00899	6.5871748143076	0.179458886090255	1.09240735206988	0.77359	0.5478	0.33624	0.86752	0	0.145857985776232	0.0145372499469714	0	0	0.0091	0.20819	0	0	0.02713	0.01979	0	0.15511	0	0.29102	0.22805	0	0.48816	0.0282498842429593	0	0.012081478105188
Lachnospiraceae_SGB4870	0	0	0.04144	0.00221	0	0.0634365182110889	0	1.02366497421451	0.0238072435083539	0.136620651885361	0.0947	0.01281	0.06712	0.14437	0	0.00645103362994806	0	0	0	0	0.04975	0	0	0	0.04518	0.00145	0	0	0.04436	0.05569	0	0.04409	0	0	0
Lachnospiraceae_SGB4591	0	0	0.17018	0	0	0.0321682497446952	0	0.00194029886764873	0	0.378630924644587	0.18538	0.1634	0.03233	0.34115	0	0.103943577647482	0	0	0	0	0.07274	0	0	0	0	0	0.35887	0	0.16899	0.06307	0	0.22684	0	0	0
Blautia_wexlerae_SGB4837	0	0	0	0.00277	0	0.341251009295426	0	2.30460309017726	0.0817471841566153	0.450418596701677	0	0	0.44648	0.00101	0	0.00886872870235257	0	0	0	0	0.04622	0	0	0	0	0	0	0	0	0	0	0.00599	0	0	0
Blautia_hansenii_SGB4794	0	0	0.00995	0	3.64270640298704	0.0990709120681614	0	9.7555779841581	0.0441983304098098	0.141018471971231	0.44511	0.08644	0.00935	0.26676	0	0.0495656340619444	0	0	0	0.01947	0.0498	0	0	0	0	0	0.00788	0.00227	0.00864	0.03015	0	0.10895	0.0228859821715113	0	0
Lachnospiraceae_SGB66069	0	0	0.50248	0.02555	0	0.364084993755035	0.01082	1.07371944094886	0.156690924028507	1.19869885148144	0.54275	1.11658	0.54626	0.63883	0.0127093240067719	0.125039265439154	0.00322561269625185	0	0	0	0.17146	0	0	0	0.15709	0.02122	0.33386	0.00717	0.316	0.18338	0	0.39414	0.00868575721394119	0	0.00217484359718666
Blautia_SGB47659_SGB47659	0	0	0.01905	0	0	0.00867144123552652	0	0.427800939976587	0	0.155309062821088	0.07398	0.03445	0.01105	0.16234	0	0.0136752680706412	0	0	0	0	0.02713	0	0	0	0	0	0.02142	0	0.03676	0.01792	0	0.11935	0	0	0
Blautia_SGB47660_SGB47660	0	0	0.23037	0	0.0269249880138993	0.100153321983956	0	6.96493002763483	0.10645898744257	0.459530359247454	1.28532	0.48677	0.41797	0.86577	0	0.140001278142603	0	0	0	0.00067	0.28852	0	0	0.02525	0.01357	0	0.1678	0.00401	0.59671	0.25097	0	1.43813	0.0559821989877965	0	0.00541491671136272
Oscillospiraceae_SGB15313	0.62531	0.88266	0.12291	2.25586	0.0031397495892309	0.51129274230316	0.84132	0.38327020695555	2.52882195697669	1.23291444961252	0.33284	0.32712	1.12538	2.58248	0.0387152015123779	0.0771931376578222	0.152094969566221	0.036678318373527	0.482697188930854	1.65619	0.57783	0.1105	1.75758	3.32024	2.38705	0.75953	0.30693	1.85936	0.72702	0.81959	0.126494306354958	0.27599	0.693053789049123	3.06654	0.0796347833075983
Blautia_caecimuris_SGB4862	0	0	0.05043	0.00362	0	0.00711471686224827	0	0.855400857998417	0	0.128327088425327	0.01055	0.05806	0.07276	0.06287	0	0	0	0	0	0	0.01815	0	0	0	0.02383	0	0.00054	0	0.02932	0	0	0.01412	0	0	0
Prevotellaceae_SGB1482	0	0	0.07571	0	0	0.0126423045783027	0	0	0	0.0888954711226309	0	0.09202	0.00193	0	0	0	0	0	0	0	0.04451	0	0	0	0.07897	0	0.13096	0	0.04167	0	0	0	0	0	0
Prevotellaceae_SGB1481	0.01577	0.10166	0.16195	0.00155	0	0.237382224061184	0	0.0593276969081061	0	0.754704977146227	0	0.31971	0.04483	0.05474	0	0	0	0	0	0	0.06019	0	0.0463	0	0.14946	0.00225	0.21041	0.00086	0.03728	0.01421	0	0	0	0	0
Muribaculaceae_SGB2126	0.45013	0.1953	0.13552	0.01203	0	0.0449564972329927	0	0	0	0.38681291550202	0	0.08417	0.17343	0.04523	0	0.0924378879711699	0	0	0	0.00074	0.28983	0	0.0365	0	1.5291	0.03622	1.77178	0	0.29206	0.01288	0	0	0	0.184	0
Lachnospiraceae_SGB66068	0	0	0.02877	0	0	0.0471882075649971	0	0.0484899915212394	0.256692894335222	0.282148516545064	1.04884	0.32147	0.32984	1.10359	0	0.00355441566730591	0	0	0	0	0.17056	0	0	0	0.02234	0	0.06393	0	0.3508	0.70658	0	0.18639	0	0	0
Lachnospiraceae_SGB65958	0	0	0.06835	0	0	0.0367715323641156	0	0.121224978803098	0.00106815037567796	0.349454689064332	0.13795	0.16694	0.07437	0.26046	0	0.0833614336778709	0	0	0	0	0.23594	0	0	0	0	0	0.24045	0	0.28289	0.17861	0.0308346586104159	0.27553	0	0	0
Lachnospiraceae_SGB58537	0	0	0.18326	0	0	0.178500340832851	0.01346	0.590279119929694	0.000288689290723774	0.65241149599455	0.14139	0.70592	0.09481	0.28907	0	0.067089595720399	0	0	0	0	0.0779	0	0	0	0.08126	0.03093	0.11638	0	0.1331	0.11498	0	0.21122	0	0	0
