F-50179221-003S	F-50179155-003S	F-50179247-003S	F-50179145-003S	F-50179263-003S	F-50179227-003S	F-50179243-003S	F-50179060-003S	F-50179271-003S	F-50179229-003S	F-50179267-003S	F-50179200-003S	F-50179151-003S	F-50179192-003S	F-50179147-003S	F-50179196-003S	F-50179186-003S	F-50179213-003S	F-50179062-003S	F-50179233-003S	F-50179239-003S	F-50179253-003S	F-50179066-003S	F-50179169-003S	F-50179161-003S	F-50179205-003S	F-50179249-003S	F-50179259-003S	F-50179219-003S	F-50179159-003S	F-50179184-003S	F-50179190-003S	F-50179203-003S	F-50179209-003S	F-50179167-003S
1.1.1.1	89.9275327675	161.7991959537	74.3740858046	331.1429573779	680.8389813537	366.1852411341	334.2424037684	139.4520470891	391.3193990176	179.5912887913	212.1137912085	131.5096284146	483.7529829213	291.6346495798	91.946046981	293.7127672096	281.8576656178	47.4926671741	40.2227447624	88.1437787357	241.7372894245	130.6091084656	87.4118425914	207.6609304902	149.4669764807	91.2733706776	158.2995049714	175.4705579346	161.5332344347	141.8297289031	330.9487754553	108.3042052105	128.0520609431	60.6097230023	151.4341830299
1.1.1.100	321.2380790066	354.291021247	265.7524685956	643.5097126115	870.7005583039	489.4400490079	666.0547645739	375.9332039006	690.6806725551	380.8398012965	340.566623411	311.1749869713	769.0209289571	438.6957901055	345.9113679688	440.5820801325	388.466883239	194.0870735754	294.1706270896	302.296595832	511.5859342511	413.3416259973	252.4520347235	701.1603617903	335.441901485	303.6167148948	486.6527888798	490.0658618825	367.7209876906	387.8215534989	576.646134589	412.8171586444	280.8041026786	239.0342254525	555.5938568902
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1283601954	0	0	0	0	0	0
1.1.1.103	1.942154448	7.809198423	1.7542099298	46.4978202542	8.8038249016	25.5940883855	11.767036295	3.2825697816	53.3571139664	10.689273785	14.4173188315	7.9039995128	40.783737783	14.5039695183	3.1885783695	15.5173037349	16.9205630292	0	5.9683500543	5.1303483003	13.0926360488	15.4667532522	3.2821210935	13.9450629869	2.5317623494	12.072146852	15.9446841435	22.210807175	6.0936831982	16.3334203095	63.6494936897	11.1112252012	4.3785872374	0	11.2963406322
1.1.1.105	0	1.3106107081	0	0	0	5.7968840826	2.2574397595	0	0	0	0	0	3.3715685086	1.5225973569	0	0	0	0	0	0	9.1522016419	0.9001936081	2.668765754	0	0.8488459867	0	0	0	0	1.7154527475	0	5.4074767297	0	0	5.4533921216
1.1.1.107	0	0.3808754469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7215493268	0.2288117989	0	0.9088492127	0	0.7167088199	0
1.1.1.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.117	0	0	0	0	1.2334565089	0	0.6584578497	0	1.3847708538	0	0	0	0	0	0	0	0	0	0	0	2.1985713246	0	0	0	1.2098905258	0	1.2751989827	0	0	0	0	0	0	0	0
1.1.1.119	17.0335493821	70.9866267675	45.865737525	120.0698586452	187.6973058329	84.0484678933	158.9004613011	79.099286435	163.3991480224	78.1366881077	93.4584218567	54.8609914599	71.7688504889	68.5756207749	45.5289501568	75.5472048903	54.6382586256	22.647227051	7.5879222166	49.1374777983	71.5414160015	128.2018209024	74.1204457949	138.4614792774	70.0687131384	28.9784203565	109.2051792799	112.1210580203	61.0809183319	83.9020492139	96.1551220355	106.5501798434	40.8659546102	51.8062235413	73.7882767261
1.1.1.120	0	0	0	0	0	0	0	0	0.6263036882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
