F-50179223-003S	F-50179153-003S	F-50179245-003S	F-50179143-003S	F-50179261-003S	F-50179225-003S	F-50179241-003S	F-50179058-003S	F-50179269-003S	F-50179231-003S	F-50179265-003S	F-50179176-003S	F-50179173-003S	F-50179194-003S	F-50179149-003S	F-50179198-003S	F-50179163-003S	F-50179215-003S	F-50179064-003S	F-50179235-003S	F-50179237-003S	F-50179255-003S	F-50179068-003S	F-50179171-003S	F-50179141-003S	F-50179207-003S	F-50179251-003S	F-50179257-003S	F-50179217-003S	F-50179157-003S	F-50179182-003S	F-50179188-003S	F-50179201-003S	F-50179211-003S	F-50179165-003S
1.1.1.1	315.0141469726	193.53783024	240.1168145254	553.8244808413	464.1071821927	266.949385981	463.2863060428	212.703634471	532.9210410937	434.0154713722	673.4226335777	357.7721988272	279.4987600364	601.2781591164	377.7701989447	220.6226766669	365.5931640323	333.1280458356	661.2379335322	562.7127207227	321.324374615	329.4420951798	533.9809295532	606.390711502	502.7834922151	716.5804257188	332.4955250761	737.2863244429	565.4121537274	344.687514805	596.8693690622	627.3336722556	621.6731850894	513.2275720011	436.3813364168
1.1.1.100	474.4732432264	282.717603852	286.8935406936	699.8806624864	649.0590955559	480.8412207097	848.1768021581	328.5618104246	1316.652332615	304.1479373948	1542.6035421893	556.946974365	652.6718880869	1407.5542545577	603.4322148469	294.3230450299	508.9388486699	327.0841655829	906.0029006739	1052.8554099179	397.8048254854	373.1447801496	418.4254152484	1415.1169426732	908.9985948211	482.533166744	384.0087852765	1317.7339963777	698.867029853	910.1613528059	1259.4885890714	1301.6158450433	402.5115906041	1045.7193611714	440.2398823462
1.1.1.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.103	40.9500975046	9.0268443487	6.941205814	56.4726296619	24.6231376696	35.9165824875	32.1928106521	41.457131905	24.2874699017	9.5496214081	6.8880715086	12.9394592141	9.4667379254	3.4613502626	0.9763467583	1.2383018578	2.8836704679	1.0701051597	16.2933571689	10.5128984073	6.9870638326	4.2511446961	3.177350306	7.6490838217	11.4205161591	10.0459987219	1.5611293663	10.8789667568	17.8434951168	8.5588312301	20.8192431838	7.8609134232	12.0150899554	42.4606098386	15.5940514868
1.1.1.105	1.5934008161	3.9939283735	0.9482287248	1.6654142658	2.5635568122	3.0409687092	0	2.70425287	0	8.5413420752	0	2.6438289497	0	0.4065623911	3.2448030797	0	1.8898230851	3.4152973157	0	0	0	2.7156929025	2.6615991523	0	0	0	2.784926618	0	2.8721312451	0.7945135774	0	0	0	0	0
1.1.1.107	0	0	0	0.2234024868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0366301486	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785956142
1.1.1.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.119	71.461951614	54.5269142139	32.562137141	158.0196472057	93.0727812098	139.8973165874	151.1571122874	33.5366137558	129.7393021775	43.6152336586	178.0161070452	106.0623519294	123.7625326966	36.2228628416	70.6301583315	67.9713383936	73.8752075506	47.3137177341	113.2921578741	95.6437466722	42.8385496622	68.3738755557	59.7786883862	92.8780804294	137.7332621687	48.867733001	76.9128785759	175.777794908	152.6153384163	98.0035913694	160.4429103106	51.7396608547	54.0196312229	80.7916460957	101.277712061
1.1.1.120	0	0	0	0	0	0	0	0	0	0	0	0.7165632451	0	0	0	0	0	0	0	0	0	0	0	0	0.9875893165	0	0	0	0	0	0	0	0	0	0
