	F-50179223-003S	F-50179153-003S	F-50179245-003S	F-50179143-003S	F-50179261-003S	F-50179225-003S	F-50179241-003S	F-50179058-003S	F-50179269-003S	F-50179231-003S	F-50179265-003S	F-50179176-003S	F-50179173-003S	F-50179194-003S	F-50179149-003S	F-50179198-003S	F-50179163-003S	F-50179215-003S	F-50179064-003S	F-50179235-003S	F-50179237-003S	F-50179255-003S	F-50179068-003S	F-50179171-003S	F-50179141-003S	F-50179207-003S	F-50179251-003S	F-50179257-003S	F-50179217-003S	F-50179157-003S	F-50179182-003S	F-50179188-003S	F-50179201-003S	F-50179211-003S	F-50179165-003S
Firmicutes_SGB5060	0	0	0	0.0538678742769078	0	0	0	0	0	0	0	0	0.00220811846023627	0	0	0	0.017275153048125	0	0	0	0	0	0	0	0	0	0	0.00618197080935857	0	0	0	0	0.0216379362226683	0	0
Firmicutes_SGB4052	1.52901077880448	0.461404045128084	0.60315	2.97846086525972	2.13533213000297	1.69667	2.48197950749765	1.11720544584435	2.91389372681503	0.367709737231223	0	3.32561323040404	2.50473907276917	0.675289199146158	0.355313179004944	0.94131	0.205912833323896	1.78483561423141	1.60211910454937	1.0405428127967	1.1728	1.89508770472358	0.533487658976339	0.961679208424697	7.02591655243024	0.40193335709806	0.12623713807849	1.27207686102867	0.757353232203694	0.696005486736761	4.65506964942896	0.401813433647547	1.03425867233868	2.15354247282739	2.0701047895061
Firmicutes_SGB4688	0	0	0	0.0441416038242049	0.00146029165019558	0.01794	0	0	0.0135015240134629	0	0	0	0.0209325669279797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00183235238517993	0	0.00157910840968722	0	0	0	0
Firmicutes_SGB5749	0	0	0	0.112972270567209	0	0.06072	0	0	0	0.0109375821036011	0	0	0.149043045127696	0	0	0	0	0	0	0	0.91742	0	0	0	0	0	0	0	0.00957213251216392	0	0	0	0	0	0
Firmicutes_SGB63246	0.00351808134782541	0	0	0.230953388277664	0	0.04022	0	0	0	0	0	0	0.31352311572404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114839198917379	0.0157754088161585	0	0.190060778478309	0	0	0	0.0394410669344005
Firmicutes_SGB72905	0	0.00371076269097719	0.06866	0.489938106567893	0.139535918499506	0.8466	0.21362630685288	0.182878369359943	0	0.087396218110806	0.00773710360800265	0	0.561129439565601	0	0	0.05218	0.00765331594038337	0	0.00165351668462336	0	0.16652	0	0.050953642339369	0.0313869783498487	0	0.0552226207309254	0.0303874410092173	0.178986237198017	0.18916175326381	0.081504908482523	0.0900357935388516	0.0289986099923664	0	0.117677225149162	0.27952787004207
Firmicutes_SGB66598	0	0	0	0.196301273041208	0.0960026957200906	0.0977	0.0473811948365652	0	0.038198756210929	0.0139568104967827	0.040006911015762	0.0584807661973941	0.256032820745871	0	0	0	0.00675184363009783	0	0.0158700651630331	0.00817027446951978	0.01983	0.00956862345450325	0	0.00783561445329556	0.00264560047966058	0.019553717248972	0.00396769641098848	0.0987297102788737	0.031684426660403	0.00373180430787446	0.00246624796569128	0	0.00441702283077666	0.0920476326310144	0.0242728879398696
Actinobacteria_SGB14327	0	0	0	0	0	0	0	0	0	0.000645621165837567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes_SGB105987	0.0314873153319222	0	0	0.775487928706937	0.0450669882233316	0.06416	0.0060970557292716	0	0	0.0101590389330323	0	0.116131950353508	0.0215761889006943	0	0.0010021830118769	0.00415	0	0.0161609968564908	0	0	0	0.0283147574276318	0.0102438719898246	0	0.06689191949626	0.0534611933984832	0	0.0431919754636214	0	0.0125192920868282	0.187009018405655	0.037709316682313	0	0.0108994174587854	0.110872165507643
Firmicutes_SGB106203	0.0186623982855558	0	0	0	0.0114710960446181	0.03817	0	0	0	0.000693093310384447	0	0	0.1196641775424	0	0	0	0	0.182638166229056	0	0	0	0	0	0	0.0244973321607869	0.00618373425219049	0	0	0.0137808168968741	0	0.156580131634716	0	0	0.0112004055559736	0.000988402641247628
Firmicutes_SGB105989	0	0	0	0.390935966032937	0	0.05956	0.071587843993689	0	0.0622848083090203	0	0	0	0.14053733321136	0	0	0	0	0	0	0.0283694924810511	0	0	0.00338102751721402	0.0348417719951654	0	0.0325395591785721	0	0.171986064369773	0	0.0343728916069774	0.413673174964691	0.0494576470215043	0	0.0190808211914469	0.117600906565367
Clostridiaceae_SGB4746	0.0214008494177967	0	0	0.130029671838663	0	0.0694	0	0	0	0	0	0.0118048570931638	0.2051371755189	0	0	0.00123	0	0	0	0.0308606422660006	0.01368	0	0	0	0.0521136880449631	0	0	0.0142185328615247	0.0116239854434852	0	0.0330459484611511	0.0133313173113328	0	0.270633903629356	0.0666696589264626
Lachnospiraceae_SGB4784	0.0170544109659127	0	0	0.0107644678605757	0	0.00838	0	0	0	0	0	0	0.0272202585075762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246456240053487	0	0	0	0.00720393463524713
