	F-50179122-003S	F-50179079-003S	F-50179110-003S	F-50179085-003S	F-50179129-003S	F-50179112-003S	F-50179108-003S	F-50179123-003S	F-50179133-003S	F-50179114-003S	F-50179131-003S	F-50179101-003S	F-50179077-003S	F-50179097-003S	F-50179087-003S	F-50179099-003S	F-50179071-003S	F-50179118-003S	F-50179125-003S	F-50179116-003S	F-50179106-003S	F-50179137-003S	F-50179127-003S	F-50179075-003S	F-50179083-003S	F-50179091-003S	F-50179135-003S	F-50179139-003S	F-50179120-003S	F-50179081-003S	F-50179105-003S	F-50179095-003S	F-50179089-003S	F-50179093-003S	F-50179073-003S
glycine	1.375	1.0433	1.2537	2.7301	2.8938	2.2588	3.0298	1.8834	1.5259	1.5297	2.2164	1.4312	1.3964	0.6655	0.6988	1.4273	0.9276	4.6971	2.4479	1.4898	1.0149	3.688	1.7366	2.4048	0.6871	1.752	1.9259	3.3544	0.9021	1.5202	3.531	0.8434	2.493	0.7558	1.4748
N-acetylglycine	0.8542	1.3057	0.94	2.9529	2.293	2.017	2.6237	2.0149	1.8546	1.379	2.337	0.9182	1.1487	0.8321	1.1892	2.0273	0.7737	1.0	2.1008	2.5479	0.785	3.1083	1.9808	2.1253	0.5937	1.8948	1.4068	2.9287	0.6138	1.4355	8.1155	1.0129	1.6829	0.661	1.9875
sarcosine	0.8721	0.5304	0.5309	4.0214	0.2018	3.4238	2.3791	5.6463	7.6237	1.2108	4.4164	4.2817	1.6867	0.4552	0.7357	1.0538	0.3896	5.2573	1.2449	5.4741	1.1135	4.6127	0.9875	3.6809	0.7131	0.8355	4.7101	6.995	0.7448	1.8074	0.2018	1.3351	3.1123	1.01	0.9581
dimethylglycine	0.8369	1.6834	1.1591	0.513	0.2816	1.5622	0.8632	0.4886	0.3966	2.1612	1.4254	1.4583	0.8237	0.7952	1.334	1.4036	0.5732	0.7796	1.0178	0.5568	0.5674	0.8741	2.1059	0.7216	1.7514	1.885	3.9467	0.8777	1.2905	1.0754	2.2535	1.0236	0.6394	0.9724	1.6608
betaine	0.7499	1.3571	1.4713	3.3432	3.0181	1.457	2.5625	2.8675	1.679	1.4029	1.7966	1.7027	1.2872	0.8366	0.8348	0.9723	0.5885	3.0231	0.9149	1.5638	0.8581	2.3849	1.1934	1.0023	1.1455	1.0206	1.3254	2.151	0.8421	1.7197	5.2212	0.585	1.7707	0.8786	1.2966
serine	1.2639	0.7973	0.9735	1.4833	1.8877	2.1408	2.0988	1.7983	1.1945	1.2913	2.7456	1.5206	1.3208	0.6073	0.6284	1.5284	1.0522	5.1179	2.4834	1.4197	1.0715	4.4274	1.3385	2.5332	0.7425	1.3039	2.1853	3.9355	0.9965	1.8965	4.9972	1.3684	3.3887	0.8313	1.3624
N-acetylserine	3.231	2.4017	0.9865	1.7997	0.743	1.0278	1.3821	0.568	0.4341	0.8753	1.0639	1.3109	1.3126	1.0933	1.8558	1.5522	12.2439	0.9639	2.0238	0.613	1.5717	1.4751	0.7914	0.4285	0.6346	0.8559	3.419	0.6132	1.9596	0.7184	26.0234	0.4499	0.856	0.8331	2.1543
threonine	1.2728	1.0835	1.5687	1.8815	2.4277	2.2523	2.9145	1.6128	1.3287	1.4176	2.5352	1.302	1.568	0.8867	0.8108	1.7703	1.0783	4.013	2.5933	1.7286	1.1428	4.2733	1.8528	2.1826	0.8247	1.8347	2.0483	3.5681	0.9844	1.8551	6.5498	1.0448	2.821	0.747	1.6139
N-acetylthreonine	1.9615	1.0192	1.3862	1.8764	3.2535	1.3165	4.199	0.7436	1.3612	1.1657	2.3198	0.7406	0.9943	0.5148	0.8125	0.9795	1.3394	1.4237	1.837	1.8822	1.0116	3.8315	1.7023	1.7566	0.7085	1.0601	4.4904	2.152	1.2353	0.7875	55.5584	0.4582	1.4859	0.9296	2.3215
homoserine	1.8477	0.9982	1.6028	2.1075	3.9135	2.3665	2.6257	1.5041	2.4998	1.1539	2.5382	1.4443	2.6978	1.3191	1.105	0.487	1.7786	2.1922	2.4892	2.9935	0.6673	0.8417	1.873	2.618	1.1597	2.0734	1.9024	1.7427	1.7594	2.0059	0.1491	0.9041	2.2185	0.6968	1.0018
