cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Muribaculaceae_SGB48227;Streptococcus_lutetiensis_SGB8021;UNKNOWN;Erysipelotrichaceae_SGB72140;Dubosiella_newyorkensis_SGB6789;Adlercreutzia_equolifaciens_SGB14797;Coriobacteriaceae_bacterium_SGB33579;Erysipelotrichaceae_SGB105325;Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087;Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	choline;L-urobilin;N-methylproline;diacetylspermidine*	4.283213856562653e-07
2	Lactobacillus_acidophilus_SGB7044;Lactobacillus_johnsonii_SGB7041;Limosilactobacillus_reuteri_SGB7095;Collinsella_SGB14744_SGB14744;Collinsella_intestinalis_SGB14741;Mediterraneibacter_glycyrrhizinilyticus_SGB4606;Erysipelotrichaceae_SGB66599;Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068;Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	N-acetylaspartate (NAA);N2-acetyl,N6,N6-dimethyllysine;N-acetylglutamate;N2-acetyl,N6-methyllysine;N-acetylcitrulline;N-acetylserine;N-acetylthreonine;N-acetylglutamine;N-acetylhistidine	2.3157873834105272e-06
3	Limosilactobacillus_reuteri_SGB7095	nicotinate ribonucleoside;inosine;xanthosine;uridine;cytidine;5-methyluridine (ribothymidine);adenosine;guanosine	1.4308605438595323e-05
4	Bifidobacterium_animalis_SGB100575;Bifidobacterium_canis_SGB53847;Bifidobacterium_pullorum_SGB17264;Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278;Muribaculaceae_SGB48227;Streptococcus_lutetiensis_SGB8021;UNKNOWN;Erysipelotrichaceae_SGB72140;Dubosiella_newyorkensis_SGB6789;Adlercreutzia_equolifaciens_SGB14797;Coriobacteriaceae_bacterium_SGB33579;Erysipelotrichaceae_SGB105325;Erysipelotrichaceae_SGB65947;Coriobacteriaceae_SGB66221;Atopobiaceae_unclassified_SGB63087_SGB63087;Erysipelotrichaceae_SGB65948;Faecalibaculum_rodentium_SGB4047;Atopobiaceae_unclassified_SGB105119_SGB105119;Erysipelotrichaceae_SGB44483;Erysipelotrichaceae_SGB65944	linolenoyl ethanolamide;arachidonoyl ethanolamide;palmitoleoyl ethanolamide*	1.8940875219563827e-05
5	Collinsella_SGB14744_SGB14744;Collinsella_intestinalis_SGB14741;Mediterraneibacter_glycyrrhizinilyticus_SGB4606;Erysipelotrichaceae_SGB66599;Lachnospiraceae_SGB4859;Lachnospiraceae_SGB66068;Holdemanella_porci_SGB6796;Allobaculum_stercoricanis_SGB29316	gamma-glutamylmethionine;gamma-glutamylisoleucine*;2-hydroxyglutarate	9.511962718499371e-05
6	Lactobacillus_acidophilus_SGB7044;Lactobacillus_johnsonii_SGB7041;Limosilactobacillus_reuteri_SGB7095	histamine;N-acetylhistamine	9.511962718499371e-05
7	Firmicutes_SGB105987;Firmicutes_SGB4052;Firmicutes_unclassified_SGB4994	indolelactate;phenyllactate (PLA);3-(4-hydroxyphenyl)lactate (HPLA)	0.00010650536514108578
8	Lachnospiraceae_SGB4574;Firmicutes_unclassified_SGB14909	4-hydroxyphenylpyruvate;3-methyl-2-oxobutyrate;4-methyl-2-oxopentanoate;3-methyl-2-oxovalerate	0.00019843558954054584
9	Lachnospiraceae_SGB4574;Firmicutes_unclassified_SGB14909	asparagine	0.00022001058489958458
10	Bifidobacterium_pseudolongum_SGB17279;Bifidobacterium_criceti_SGB17283;Bifidobacterium_animalis_SGB17278	5,6-dihydrouridine;nicotinate ribonucleoside;inosine;xanthosine;uridine;cytidine;5-methyluridine (ribothymidine);adenosine;guanosine	0.00023479774523182647
